PSecuencia,Tiempo
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000001
11,0.000001
12,0.000001
13,0.000002
14,0.000003
15,0.000005
16,0.000007
17,0.000015
18,0.000017
19,0.000027
20,0.000045
21,0.000064
22,0.000098
23,0.000127
24,0.000200
25,0.000335
26,0.000606
27,0.000893
28,0.001402
29,0.002257
30,0.004175
31,0.005780
32,0.009824
33,0.016305
34,0.024664
35,0.040005
36,0.063060
37,0.103481
38,0.166958
39,0.275941
40,0.437062
